DoctorID,FirstName,LastName,Specialization,PhoneNumber,YearsExperience,HospitalBranch,Email,Avaliablity
D001,David,Taylor,Dermatology,8322010158,17,Westside Clinic,dr.david.taylor@hospital.com,0
D002,Jane,Davis,Pediatrics,9004382050,24,Eastside Clinic,dr.jane.davis@hospital.com,0
D003,Jane,Smith,Pediatrics,8737740598,19,Eastside Clinic,dr.jane.smith@hospital.com,0
D004,David,Jones,Pediatrics,6594221991,28,Central Hospital,dr.david.jones@hospital.com,0
D005,Sarah,Taylor,Dermatology,9118538547,26,Central Hospital,dr.sarah.taylor@hospital.com,0
D006,Alex,Davis,Pediatrics,6570137231,23,Central Hospital,dr.alex.davis@hospital.com,0
D007,Robert,Davis,Oncology,8217493115,26,Westside Clinic,dr.robert.davis@hospital.com,0
D008,Linda,Brown,Dermatology,9069162601,5,Westside Clinic,dr.linda.brown@hospital.com,0
D009,Sarah,Smith,Pediatrics,7387087517,26,Central Hospital,dr.sarah.smith@hospital.com,0
D010,Linda,Wilson,Oncology,6176383634,21,Eastside Clinic,dr.linda.wilson@hospital.com,0
D101,Alice,Brown,Cardiology,555-0123,12,Downtown,asda,0
D102,Gregory,House,Flu,555-1234,15,Diagnostics,house@hospital.com,0
D103,Zain,Tanveer,cpp,03333333333,1,program,zain@chomu.com,0
D104,Ammar,Saleem,OOps,03211111111,9,DSA,a@gmail.com,1
